"examCode","Category","Term","Definition"
"SAP-C02","Design Solutions for Organizational Complexity","Tag Policies and Governance","Enforcing consistent tagging across Organizations — tag policies define allowed tag keys/values, AWS Config rules detect non-compliant tags, SCPs can require tags on resource creation, and cost allocation tags enable chargeback/showback reporting."
"SAP-C02","Design Solutions for Organizational Complexity","AWS CloudFormation StackSets","Deploying infrastructure across multiple accounts and regions — service-managed (Organizations integration, auto-deploy to new accounts) or self-managed permissions. Supports concurrent deployment, failure tolerance, and automatic drift detection."
"SAP-C02","Design Solutions for Organizational Complexity","AWS Security Hub","Centralized security posture — aggregating findings from GuardDuty, Inspector, Macie, Firewall Manager, Config, and third-party tools. Automated compliance checks (CIS, PCI DSS, AWS FSBP), cross-account aggregation via Organizations, and custom actions for remediation."
"SAP-C02","Design Solutions for Organizational Complexity","Amazon GuardDuty","Intelligent threat detection — analyzing CloudTrail, VPC Flow Logs, DNS logs, EKS audit logs, S3 data events, and RDS login activity. ML-based detection of compromised instances, unauthorized access, cryptocurrency mining, and data exfiltration across all accounts."
"SAP-C02","Design Solutions for Organizational Complexity","AWS Config Aggregator","Collecting Config data across multiple accounts and regions — providing a centralized compliance view. Organization aggregator (automatic for all accounts) or individual account authorization. Used with conformance packs for organization-wide compliance."
"SAP-C02","Design Solutions for Organizational Complexity","AWS PrivateLink Architecture","Exposing services privately across VPCs and accounts — service provider creates NLB + VPC endpoint service, consumers create interface VPC endpoints. Traffic stays on AWS network, no VPC peering/Transit Gateway needed, supports cross-account and AWS Marketplace services."
"SAP-C02","Design for New Solutions","Serverless Architecture Patterns","Event-driven, pay-per-use architectures — API Gateway + Lambda + DynamoDB (REST APIs), S3 + Lambda (file processing), EventBridge + Step Functions (orchestration), SQS + Lambda (async processing), and AppSync + DynamoDB (GraphQL APIs)."
"SAP-C02","Design for New Solutions","AWS Lambda Advanced","Serverless compute — up to 15 min execution, 10 GB memory, 10 GB /tmp, provisioned concurrency (eliminate cold starts), reserved concurrency (throttle limit), Lambda@Edge/CloudFront Functions, container image support, SnapStart (Java), and Lambda Layers for shared code."
"SAP-C02","Design for New Solutions","Amazon API Gateway Advanced","REST APIs (full features, request/response transformation), HTTP APIs (lower cost, simpler, faster), WebSocket APIs (real-time). Features: custom domains, mutual TLS, usage plans/API keys, caching, canary deployments, and WAF integration."
"SAP-C02","Design for New Solutions","AWS Step Functions","Serverless workflow orchestration — Standard (up to 1 year, exactly-once, audit history) and Express (up to 5 min, at-least-once, high volume). States: Task, Choice, Parallel, Map (dynamic parallelism), Wait, Pass, Succeed, Fail. Error handling with Retry and Catch."
"SAP-C02","Design for New Solutions","Amazon EventBridge Advanced","Serverless event bus — event patterns for filtering, input transformation, archive/replay for debugging, schema registry for discovery, cross-account/cross-region event delivery, Pipes for point-to-point integration, and Scheduler for one-time/recurring invocations."
"SAP-C02","Design for New Solutions","Container Architecture - ECS","Managed container orchestration — EC2 launch type (you manage instances, more control) vs Fargate (serverless, per-task billing). Task definitions, services with desired count, ALB/NLB integration, service discovery (Cloud Map), auto-scaling, and capacity providers."
"SAP-C02","Design for New Solutions","Container Architecture - EKS","Managed Kubernetes — control plane across 3 AZs, EC2/Fargate/Outposts node types, managed node groups, Kubernetes-native tooling (kubectl, Helm), IRSA (IAM Roles for Service Accounts), EKS Anywhere for hybrid, and EKS Blueprints for standardized clusters."
"SAP-C02","Design for New Solutions","ECS vs EKS Decision","ECS: AWS-native, simpler, tighter AWS integration, lower operational overhead. EKS: Kubernetes-compatible, portable across clouds, rich ecosystem, complex but flexible. Choose ECS for AWS-centric workloads; EKS when Kubernetes compatibility or multi-cloud portability is required."
"SAP-C02","Design for New Solutions","Amazon Aurora Advanced","MySQL/PostgreSQL-compatible — 6 copies across 3 AZs, up to 128 TB auto-scaling storage, 15 read replicas, Global Database (sub-second cross-region replication), Serverless v2 (instant scaling), Multi-Master (multi-writer), Backtrack (rewind without restore), and cloning."
"SAP-C02","Design for New Solutions","Amazon DynamoDB Advanced","Serverless NoSQL — partition key design for even distribution, GSI/LSI for query flexibility, DynamoDB Streams (CDC for Lambda triggers), TTL for automatic expiration, DAX (microsecond caching), Global Tables (multi-region active-active), and on-demand vs provisioned capacity."
"SAP-C02","Design for New Solutions","Database Selection Strategy","Relational (RDS/Aurora): ACID, complex queries, joins. Key-value (DynamoDB): single-digit ms, massive scale. Document (DocumentDB): MongoDB-compatible. Graph (Neptune): relationships. Time-series (Timestream): IoT/metrics. Ledger (QLDB): immutable, verifiable. In-memory (ElastiCache): caching."
"SAP-C02","Design for New Solutions","Amazon ElastiCache Advanced","Redis: persistence (RDB/AOF), replication, Multi-AZ failover, pub/sub, sorted sets, Lua scripting, cluster mode (sharding). Memcached: multi-threaded, simple, no persistence. Use Redis for complex data structures and HA; Memcached for simple caching with multi-threaded performance."
"SAP-C02","Design for New Solutions","Amazon Kinesis Architecture","Data Streams (custom consumers, 24h-365d retention, enhanced fan-out), Firehose (managed delivery to S3/Redshift/OpenSearch/Splunk with transformation), Data Analytics (SQL/Flink real-time processing), and Video Streams (video ingestion). Shard-based scaling for Data Streams."
"SAP-C02","Design for New Solutions","Amazon MSK (Managed Streaming for Apache Kafka)","A managed Apache Kafka service — for high-throughput event streaming, log aggregation, and real-time analytics. MSK Serverless (auto-scaling, no capacity management) vs MSK Provisioned (control broker count/type). Choose MSK over Kinesis when Kafka compatibility is required."
"SAP-C02","Design for New Solutions","Data Lake Architecture","S3 (storage) + Lake Formation (governance/security) + Glue (ETL/catalog) + Athena (ad-hoc SQL) + Redshift Spectrum (warehouse queries on S3) + EMR (big data processing) + QuickSight (visualization). Kinesis/MSK for real-time ingestion, Macie for data security."
"SAP-C02","Design for New Solutions","Amazon Redshift Advanced","Columnar data warehouse — RA3 nodes (managed storage, scale compute independently), Serverless (auto-scaling), Spectrum (query S3 directly), Concurrency Scaling (burst read capacity), materialized views, federated queries (RDS/Aurora), and cross-region data sharing."
"SAP-C02","Design for New Solutions","AWS Glue Advanced","Serverless ETL — Crawlers (schema discovery), Jobs (Spark/Python Shell), DataBrew (visual prep), Elastic Views (materialized views across data stores), Schema Registry (Avro/JSON schema versioning), and Glue Studio (visual ETL authoring with job monitoring)."
"SAP-C02","Design for New Solutions","Amazon S3 Advanced Features","S3 Object Lambda (transform data on retrieval), S3 Batch Operations (bulk operations on billions of objects), S3 Multi-Region Access Points (global endpoint with automatic routing), S3 Object Lock (WORM), S3 Inventory, S3 Analytics, and S3 Event Notifications."
"SAP-C02","Design for New Solutions","Amazon CloudFront Advanced","Origin groups (failover between origins), field-level encryption, signed URLs/cookies (private content), real-time logs to Kinesis, Origin Access Control (OAC) for S3, custom headers for origin verification, and cache policies vs origin request policies."
"SAP-C02","Design for New Solutions","AWS Global Accelerator","Network-level optimization via AWS global network — static Anycast IPs, automatic regional failover, endpoint weights for traffic distribution, client affinity, and health checks. Use for non-HTTP (TCP/UDP), static IPs, or deterministic routing vs CloudFront for content caching."
"SAP-C02","Design for New Solutions","Disaster Recovery Architectures","Backup & Restore (RPO/RTO hours, lowest cost), Pilot Light (core running, minutes RTO), Warm Standby (scaled-down full copy, minutes RTO), Multi-Site Active-Active (near-zero RPO/RTO, highest cost). Key services: Route 53 failover, S3 CRR, Aurora Global DB, DynamoDB Global Tables."
"SAP-C02","Design for New Solutions","Multi-Region Active-Active Architecture","Full workload in multiple regions — Route 53 latency/weighted routing, DynamoDB Global Tables (multi-active writes), Aurora Global Database (write forwarding), CloudFront with multi-region origins, S3 Multi-Region Access Points, and Global Accelerator for failover."
"SAP-C02","Design for New Solutions","Decoupling Patterns","SQS (queue-based, pull), SNS (pub/sub, push), EventBridge (event routing, rules), Kinesis (streaming, replay), Step Functions (orchestration), and SQS + SNS fan-out. Choose based on: synchronous vs async, ordering needs, replay requirements, and consumer patterns."
"SAP-C02","Design for New Solutions","Caching Strategies","CloudFront (edge caching), ElastiCache (application-level), DAX (DynamoDB-specific), API Gateway caching (API responses). Patterns: cache-aside/lazy loading (read), write-through (write), TTL-based expiration. Consider cache invalidation, consistency, and hit ratio."
"SAP-C02","Design for New Solutions","Amazon SQS Advanced","Standard (unlimited throughput, at-least-once) vs FIFO (300/3,000 TPS, exactly-once, ordering). Features: visibility timeout, DLQ (failed message isolation), delay queues, long polling (reduce empty responses), message groups (FIFO parallelism), and temporary queues."
"SAP-C02","Design for New Solutions","AWS AppSync","A managed GraphQL API service — real-time subscriptions via WebSocket, offline data sync, resolver mapping templates, pipeline resolvers, caching, multiple data sources (DynamoDB, Lambda, RDS, OpenSearch, HTTP), and fine-grained authorization (Cognito, IAM, API key, OIDC)."
"SAP-C02","Design for New Solutions","IoT Architecture on AWS","AWS IoT Core (MQTT/HTTP device connectivity), IoT Rules Engine (routing to services), IoT Greengrass (edge compute/ML), IoT Analytics (time-series analysis), IoT Events (event detection), IoT SiteWise (industrial data), and IoT TwinMaker (digital twins)."
"SAP-C02","Design for New Solutions","Machine Learning on AWS","SageMaker (full ML lifecycle), Comprehend (NLP), Rekognition (computer vision), Textract (document extraction), Translate (translation), Polly (text-to-speech), Transcribe (speech-to-text), Forecast (time series), Personalize (recommendations), and Kendra (intelligent search)."
"SAP-C02","Design for New Solutions","Amazon EFS Advanced","Shared NFS file system — Standard and One Zone storage classes, lifecycle policies (IA tiering), throughput modes (Bursting, Provisioned, Elastic), performance modes (General Purpose, Max I/O), encryption at rest/transit, and access points for application-specific entry points."
"SAP-C02","Design for New Solutions","Amazon FSx Selection","FSx for Windows (SMB, AD, NTFS, DFS), FSx for Lustre (HPC, ML, S3 integration, sub-ms latency), FSx for NetApp ONTAP (multi-protocol NFS/SMB/iSCSI, snapshots, clones), FSx for OpenZFS (Linux, snapshots, compression). Choose based on protocol, OS, and workload requirements."
"SAP-C02","Design for New Solutions","AWS Secrets Manager vs Parameter Store","Secrets Manager: automatic rotation, cross-account sharing, RDS/Aurora native rotation, higher cost. Parameter Store: free standard tier, hierarchical storage, no native rotation (use Lambda), simpler. Use Secrets Manager for database credentials; Parameter Store for configuration data."
"SAP-C02","Design for New Solutions","Encryption Architecture","KMS (managed keys, envelope encryption, key policies), CloudHSM (dedicated HSMs, FIPS 140-2 L3), ACM (SSL/TLS certificates), S3 encryption (SSE-S3/SSE-KMS/SSE-C/client-side), EBS encryption (KMS-backed), and RDS/Aurora encryption (KMS, TDE for Oracle/SQL Server)."
"SAP-C02","Continuous Improvement for Existing Solutions","Migration Strategies (7 Rs)","Retire (decommission), Retain (keep as-is), Rehost (lift-and-shift), Relocate (hypervisor-level move), Replatform (lift-tinker-and-shift), Refactor/Re-architect (cloud-native redesign), and Repurchase (move to SaaS). Choose based on business value, complexity, and timeline."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS Migration Hub","A central tracking service for application migrations — monitoring progress across AWS migration tools (MGN, DMS, SMS), providing discovery data from Application Discovery Service, and offering migration strategy recommendations."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS Application Migration Service (MGN)","The primary lift-and-shift migration service — continuous block-level replication from source servers to AWS, non-disruptive testing, and cutover with minimal downtime. Supports physical, virtual, and cloud servers to EC2. Replaces CloudEndure Migration."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS Database Migration Service (DMS)","Migrating databases with minimal downtime — supporting homogeneous (Oracle→Oracle) and heterogeneous (Oracle→Aurora) migrations. Features: continuous replication (CDC), Schema Conversion Tool (SCT) for schema translation, and multi-AZ for HA."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS Schema Conversion Tool (SCT)","Converting database schemas between engines — transforming stored procedures, functions, views, and triggers from source (Oracle, SQL Server) to target (Aurora, PostgreSQL, MySQL). Identifies conversion issues and provides assessment reports."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS DataSync","An online data transfer service — moving data between on-premises storage (NFS, SMB, HDFS, self-managed object storage) and AWS (S3, EFS, FSx) at speeds up to 10 Gbps. Automatic encryption, integrity validation, scheduling, and bandwidth throttling."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS Transfer Family","Managed file transfer to/from S3 and EFS — supporting SFTP, FTPS, FTP, and AS2 protocols. Integrates with existing authentication systems (AD, LDAP, custom Lambda), provides static endpoints, and enables migration of file-based workflows without changing client applications."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS Snow Family","Physical data transfer devices — Snowcone (8-14 TB, portable, edge compute), Snowball Edge Storage Optimized (80 TB, edge compute), Snowball Edge Compute Optimized (42 TB, powerful compute), Snowmobile (100 PB, exabyte-scale). Use when network transfer would take weeks/months."
"SAP-C02","Continuous Improvement for Existing Solutions","Data Transfer Decision Matrix","Internet (small data, quick), Direct Connect (consistent, large ongoing), DataSync (scheduled, automated), Transfer Family (protocol-based), Snow Family (massive offline), S3 Transfer Acceleration (global uploads), and Kinesis/MSK (real-time streaming). Choose based on volume, frequency, and latency."
"SAP-C02","Continuous Improvement for Existing Solutions","Performance Optimization - Compute","Right-sizing with Compute Optimizer, Graviton instances (40% better price-performance), Spot for fault-tolerant workloads, Auto Scaling for demand matching, placement groups for low latency, and ENA/EFA for enhanced networking."
"SAP-C02","Continuous Improvement for Existing Solutions","Performance Optimization - Storage","EBS: gp3 over gp2, io2 for high IOPS, RAID 0 for throughput. S3: multipart upload, byte-range fetches, Transfer Acceleration. EFS: Max I/O mode for high parallelism. FSx for Lustre: HPC workloads with S3 integration."
"SAP-C02","Continuous Improvement for Existing Solutions","Performance Optimization - Database","Read replicas for read scaling, ElastiCache/DAX for caching, Aurora Serverless for variable workloads, DynamoDB auto-scaling with DAX, Redshift Concurrency Scaling for burst queries, and connection pooling (RDS Proxy) for Lambda/serverless."
"SAP-C02","Continuous Improvement for Existing Solutions","Amazon RDS Proxy","A fully managed database proxy — connection pooling for RDS/Aurora, reducing database connection overhead from Lambda functions and applications. Supports IAM authentication, Secrets Manager integration, and automatic failover for improved availability."
"SAP-C02","Continuous Improvement for Existing Solutions","Cost Optimization Strategies","Reserved Instances/Savings Plans (baseline), Spot (fault-tolerant), right-sizing (Compute Optimizer), S3 lifecycle policies, serverless for variable workloads, Aurora Serverless for intermittent DB, and consolidated billing volume discounts across Organizations."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS Compute Optimizer","ML-powered recommendations for EC2 instances, EBS volumes, Lambda functions, and ECS/Fargate — analyzing CloudWatch metrics to identify over/under-provisioned resources with projected savings and performance impact ratings."
"SAP-C02","Continuous Improvement for Existing Solutions","Modernization Patterns","Monolith to microservices (Strangler Fig pattern), EC2 to containers (ECS/EKS), containers to serverless (Lambda), self-managed DB to managed (RDS/Aurora), batch to event-driven (EventBridge/Lambda), and on-premises to cloud-native services."
"SAP-C02","Continuous Improvement for Existing Solutions","Strangler Fig Pattern","Incrementally migrating a monolith to microservices — routing specific functionality to new services while the monolith handles the rest. Use API Gateway or ALB path-based routing to gradually shift traffic until the monolith is fully replaced."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS Well-Architected Framework","Six pillars — Operational Excellence (automate, learn from failures), Security (least privilege, defense in depth), Reliability (recover, scale, manage change), Performance Efficiency (right resources, experiment), Cost Optimization (eliminate waste), Sustainability (minimize impact)."
"SAP-C02","Continuous Improvement for Existing Solutions","AWS Trusted Advisor","Automated best-practice checks across 5 categories — Cost Optimization, Performance, Security, Fault Tolerance, Service Limits. Full checks require Business/Enterprise Support. Integrates with EventBridge for automated remediation workflows."
"SAP-C02","Continuous Improvement for Existing Solutions","Operational Excellence Improvements","CloudFormation/CDK for IaC, Systems Manager for fleet management, Config for compliance, CloudWatch for observability, X-Ray for tracing, EventBridge for event-driven automation, and CI/CD pipelines (CodePipeline/CodeDeploy) for safe deployments."
"SAP-C02","Continuous Improvement for Existing Solutions","CI/CD Pipeline Architecture","CodeCommit/GitHub (source) → CodeBuild (build/test) → CodeDeploy (deploy to EC2/ECS/Lambda) orchestrated by CodePipeline. Deployment strategies: in-place, blue/green, canary, linear. CloudFormation for infrastructure deployment with change sets and rollback."
"SAP-C02","Continuous Improvement for Existing Solutions","Observability Architecture","CloudWatch (metrics, logs, alarms, dashboards), X-Ray (distributed tracing), CloudWatch Synthetics (canary monitoring), ServiceLens (unified view), Contributor Insights (top-N contributors), and Application Insights (automated monitoring setup for common patterns)."
"SAP-C02","Accelerate Workload Migration and Modernization","AWS Application Discovery Service","Discovering on-premises servers for migration planning — Agentless (VMware vCenter, basic info) and Agent-based (detailed performance data, network dependencies). Data feeds into Migration Hub for planning and AWS Migration Evaluator for business case."
"SAP-C02","Accelerate Workload Migration and Modernization","AWS Migration Evaluator","Building a business case for migration — analyzing on-premises infrastructure data to project AWS costs, identify right-sizing opportunities, and model different migration scenarios with projected savings and TCO comparisons."
"SAP-C02","Accelerate Workload Migration and Modernization","Large-Scale Migration Patterns","Phase approach — Assess (discovery, business case), Mobilize (landing zone, pilot), Migrate & Modernize (wave-based migration). Use MGN for rehost, DMS for databases, DataSync for storage, and Snow Family for massive data. Parallel workstreams for speed."
"SAP-C02","Accelerate Workload Migration and Modernization","VMware Cloud on AWS","Running VMware workloads natively on AWS infrastructure — using familiar VMware tools (vCenter, vSAN, NSX) with direct access to AWS services. Use for rapid datacenter evacuation, disaster recovery, or extending VMware environments to AWS without re-architecting."
"SAP-C02","Accelerate Workload Migration and Modernization","AWS Outposts","AWS infrastructure and services on-premises — fully managed racks or servers running AWS compute, storage, and databases locally. Use for low-latency requirements, local data processing, data residency, and consistent hybrid experience with the same APIs and tools."
"SAP-C02","Accelerate Workload Migration and Modernization","AWS Wavelength","AWS compute and storage at 5G network edges — ultra-low latency for mobile applications, AR/VR, real-time gaming, and IoT. Wavelength Zones extend VPCs to carrier locations, accessed via carrier gateway."
"SAP-C02","Accelerate Workload Migration and Modernization","AWS Local Zones","AWS infrastructure closer to end users in metro areas — extending a Region for latency-sensitive workloads like real-time gaming, media rendering, and live streaming. Subnets in Local Zones are part of the parent Region's VPC."
"SAP-C02","Accelerate Workload Migration and Modernization","Hybrid Architecture Patterns","Outposts (AWS on-premises), Local Zones (metro edge), Wavelength (5G edge), Snow Family (disconnected edge), ECS/EKS Anywhere (containers on-premises), SSM for hybrid management, and Direct Connect + VPN for connectivity."
"SAP-C02","Accelerate Workload Migration and Modernization","Container Migration","Containerizing applications — App2Container (Java/.NET to containers), Copilot CLI (ECS deployment), EKS Anywhere (on-premises Kubernetes), ECR (container registry), and choosing ECS vs EKS based on Kubernetes requirements and operational complexity tolerance."
"SAP-C02","Accelerate Workload Migration and Modernization","AWS App2Container","A CLI tool that containerizes existing Java and .NET applications — analyzing running applications, generating Dockerfiles and container images, creating ECS/EKS deployment artifacts, and optionally setting up CI/CD pipelines."
"SAP-C02","Accelerate Workload Migration and Modernization","Serverless Migration","Moving to serverless — Lambda for compute (from EC2/containers), DynamoDB for databases (from self-managed NoSQL), API Gateway for APIs (from self-managed web servers), Step Functions for workflows, and EventBridge for event routing."
"SAP-C02","Accelerate Workload Migration and Modernization","Database Migration Patterns","Homogeneous (same engine, DMS only), Heterogeneous (different engines, SCT + DMS), consolidation (multiple sources to one target), and continuous replication for near-zero downtime. Consider: Aurora for MySQL/PostgreSQL, DynamoDB for NoSQL, and Redshift for data warehouse."
"SAP-C02","Accelerate Workload Migration and Modernization","AWS Mainframe Modernization","Migrating mainframe workloads — Replatform (AWS Blu Age for automated refactoring to Java) or Rehost (Micro Focus for running COBOL on AWS). Includes managed runtime environments, data migration tools, and application testing capabilities."
"SAP-C02","Accelerate Workload Migration and Modernization","SAP on AWS","Running SAP workloads — certified EC2 instances (x2idn for HANA), EBS io2 for high IOPS, dedicated hosts for licensing, AWS Launch Wizard for guided deployment, Backint for SAP HANA backups to S3, and AWS Systems Manager for SAP for operations."
"SAP-C02","Accelerate Workload Migration and Modernization","Windows Workload Migration","Migrating Windows — MGN for lift-and-shift, FSx for Windows File Server (SMB/NTFS/AD), RDS for SQL Server, AD Connector or AWS Managed Microsoft AD for directory services, and License Manager for tracking BYOL compliance."
"SAP-C02","Accelerate Workload Migration and Modernization","AWS Elastic Disaster Recovery (DRS)","Affordable DR with continuous replication — block-level replication from on-premises/cloud to AWS staging area, point-in-time recovery, non-disruptive drills, and rapid failover/failback. RPO seconds, RTO minutes. Replaces CloudEndure Disaster Recovery."
